Contract title;Funding (M€);Donor;Lead country;Scope;Starting date;Ending date;Operator;Conservation ;Green Economy;Governance
Bénoué;3;EU-EU Delegation;Cameroon;KLCD;2022-12-16;2030-07-11;WCS, Associations;"C1 - Patrolling and surveillance

C2 - Community engagement and education

C4 - Law enforcement training

C6 - Legal and polycy advocacy";"E13 - Sustainable livelihoods programmes

E17 - Integrated land use planing

E18 - Education and training programmes";"G2 - Stakeholder engagement

G3 - Capacity building

G4 - Participatory planning

G6 - Conflicts resolution mechanisms

G10 - Community land rights"
Gashaka-Gumti;1.5;EU-EU Delegation;Cameroon;KLCD;2024-07-22;2028-07-22;ANI;;;
CaSeVe conservation;7.75;EU-EU Delegation;Cameroon;KLCD;2022-12-22;2027-12-21;AWF, Noé;;;
CaSeVe agro-pasotralism;7.75;EU-EU Delegation;Cameroon;Provincial;2023-06-17;2027-12-16;AFD;;;
CaSeVe governance;4;EU-EU Delegation;Cameroon;Provincial;2023-06-29;2028-06-28;CIFOR-ICRAF;;;
ECONORCAM;5.32;EU-EU Delegation;Cameroon;Provincial;2021-01-01;2024-12-31;WCS;;;
RESINOC;2.5;EU-EU Delegation;Cameroon;Regional;2020-09-24;2024-09-23;CIFOR-ICRAF;;;
INNOVAC;4.15;EU-EU Delegation;Cameroon;Regional;2021-12-24;2025-12-23;CIFOR-ICRAF;;;
ABC-PADER;9.5;EU-EU Delegation, DE-BMZ;Cameroon;KLCD;2020-02-03;2025-02-03;GIZ;;;
BSB-Yamoussa;11;DE - KfW;Cameroon;KLCD;;;WCS, GIZ;;;
Borderlands;31.5;EU-EU Delegation;Central African Republic;Regional;2024-09-01;2027-12-31;Concordis, HD, WCS, APN;;;
PAIRIAC;27;EU-EU Delegation;Cameroon;Regional;;;;;;
PRADEP;;EU-EU Delegation;Cameroon;Regional;;;;;;
ABC - SODECOTON;15.5;EU-EU Delegation, DE-BMZ;Cameroon;KLCD;;;GIZ;;;
RealGNRS;;;Cameroon;Provincial;;;;;;
PROFEC;?;DE-BMZ;Cameroon;Provincial;2023-01-01;2024-12-01;GIZ;;;
ECHO;;DE-BMZ;Cameroon;Provincial;;;;;;
